times collected,species
5,Schistidium coloradense (Austin) Ochyra
5,Schistidium teretinerve (Limpr.) Limpr.
5,Sphagnum balticum (Russow) C.E.O. Jensen
5,Syntrichia norvegica var. Cainii (H.A. Crum & L.E. Anderson) W.A. Kramer
6,Andreaea rothii F. Weber & D. Mohr
6,Bryum blindii Bruch & Schimp.
6,Bucklandiella macounii (Kindb.) Bedn.-Ochyra & Ochyra
6,Buxbaumia piperi Best
6,Campylium protensum (Brid.) Kindb.
6,Campylophyllum halleri (Hedw.) M. Fleisch.
6,Didymodon anserinocapitatus (X.J. Li) R.H. Zander
6,Drepanocladus sendtneri (Schimp. ex H. Müll.) Warnst.
6,Funaria microstoma Bruch ex Schimp.
6,Gymnostomum calcareum Nees & Hornsch.
6,Homalothecium aeneum (Mitt.) E. Lawton
6,Lindbergia brachyptera (Mitt.) Kindb.
6,Orthotrichum pallens Bruch ex Brid.
6,Physcomitrium pyriforme (Hedw.) Brid.
6,Plagiomnium ciliare (Müll. Hal.) T.J. Kop.
6,Plagiomnium succulentum (Mitt.) T.J. Kop.
6,Pseudoleskeella catenulata (Brid. ex Schrad.) Kindb.
6,"Pulvigera lyellii (Hook. & Taylor) Plášek, Sawicki & Ochyra"
6,"Roaldia revoluta var. Dolomitica (Milde) P.E.A.S. Câmara, Carv.-Silva & M. Stech"
6,Rosulabryum canariense (Brid.) Ochyra
6,Schistidium papillosum Culm.
6,Sphagnum contortum Schultz
6,Tortula atrovirens (Sm.) Lindb.
6,Tortula cernua (Huebener) Lindb.
6,Voitia nivalis Hornsch.
6,Weissia planifolia Dixon
7,Aschisma kansanum A.L. Andrews
7,Aulacomnium turgidum (Wahlenb.) Schwägr.
7,Campylophyllopsis sommerfeltii (Myrin) Ochyra
7,Claopodium rostratum (Hedw.) Ignatov
7,Dicranum acutifolium (Lindb. & Arnell) C.E.O. Jensen
7,Geheebia ferruginea (Schimp. ex Besch.) R.H. Zander
7,Hypnum cupressiforme var. Cupressiforme
7,Imbribryum mildeanum (Jur.) J.R. Spence
7,Leskea polycarpa Hedw.
7,Mnium hornum Hedw.
7,Mnium spinosum (Voit) Schwägr.
7,Orthodicranum flagellare (Hedw.) Loeske
7,Paludella squarrosa (Hedw.) Brid.
7,Pseudocrossidium adustum (Mitt.) M.J. Cano
7,Serpoleskea confervoides (Brid.) Loeske
7,Streblotrichum convolutum (Hedw.) P. Beauv.
7,Syntrichia princeps (De Not.) Mitt.
7,Tortella alpicola Dixon
7,Weissia glauca E.B. Bartram
8,Brachythecium frigidum (Müll. Hal.) Besch.
8,Brachythecium rutabulum (Hedw.) Schimp.
8,Calliergonella curvifolia (Hedw.) B.H. Allen
8,Grimmia caespiticia (Brid.) Jur.
8,Grimmia crinitoleucophaea Cardot
8,Imbribryum muehlenbeckii (Bruch & Schimp.) N. Pedersen
8,Molendoa handelii (Schiffn.) Brinda & R.H. Zander
8,Orthothecium chryseon (Schwägr.) Schimp.
8,Platygyrium repens (Brid.) Schimp.
8,Pohlia bulbifera (Warnst.) Warnst.
8,Pohlia ludwigii (Spreng. ex Schwägr.) Broth.
8,Polytrichastrum sexangulare (Flörke ex Brid.) G.L. Sm.
8,Ptilium crista-castrensis (Hedw.) De Not.
8,Ptychostomum intermedium (Brid.) J.R. Spence
8,Schistidium ambiguum Sull.
8,Sphagnum girgensohnii Russow
8,Stereodon hamulosus (Schimp.) Lindb.
9,Catoscopium nigritum (Hedw.) Brid.
9,Cnestrum alpestre (Wahlenb.) Nyholm
9,Didymodon icmadophilus (Schimp. ex Müll. Hal.) K. Saito
9,Encalypta alpina Sm.
9,Hymenoloma mulahaceni (Höhn.) Ochyra
9,Orthotrichum diaphanum Schrad. ex Brid.
9,Pohlia camptotrachela (Renauld & Cardot) Broth.
9,Ptychostomum schleicheri (Dc.) J.R. Spence
9,Sciuro-Hypnum curtum (Lindb.) Ignatov
9,Syntrichia calcicola J.J. Amann
9,Syntrichia sinensis (Müll. Hal.) Ochyra
9,Tortula muralis Hedw.
9,Tortula plinthobia (Sull. & Lesq.) Austin
10,Blindiadelphus campylopodus (Kindb.) Fedosov & Ignatov
10,Brachythecium brandegeei (Austin) H. Rob.
10,Calliergon giganteum (Schimp.) Kindb.
10,Dichelyma uncinatum Mitt.
10,Dicranum brevifolium (Lindb.) Lindb.
10,Dicranum spadiceum J.E. Zetterst.
10,Grimmia reflexidens Müll. Hal.
10,Imbribryum subapiculatum (Hampe) D. Bell & Holyoak
10,Leptopterigynandrum subintegrum (Mitt.) Broth.
10,Mnium spinulosum Bruch & Schimp.
10,Plagiobryum zieri (Dicks. ex Hedw.) Lindb.
10,Plagiomnium rostratum (Schrad.) T.J. Kop.
10,Ptychostomum lonchocaulon (Müll. Hal.) J.R. Spence
10,Syntrichia pagorum (Milde) J.J. Amann
10,Tayloria acuminata Hornsch.
10,Warnstorfia exannulata var. exannulata
11,Bartramia stricta Brid.
11,"Brachytheciastrum salicinum (Schimp.) Orgaz, M.J. Cano & J. Guerra"
11,Brachythecium acutum (Mitt.) Sull. ex Austin
11,Brachythecium campestre (Müll. Hal.) Schimp.
11,"Calcidicranella varia (Hedw.) Bonfim Santos, Fedosov & Jan Kučera"
11,Cynodontium gracilescens (F. Weber & D. Mohr) Schimp.
11,Homomallium adnatum (Hedw.) Broth.
11,Hygroamblystegium fluviatile (Hedw.) Loeske
11,Hygrohypnum styriacum (Limpr.) Broth.
11,Sciuro-Hypnum starkei (Brid.) Ignatov & Huttunen
11,Weissia ligulifolia (E.B. Bartram) Grout
12,Dicranum bonjeanii De Not.
12,Didymodon subandreaeoides (Kindb.) R.H. Zander
12,"Lewinskya speciosa (Nees) F. Lara, Garilleti & Goffinet"
12,Orthotrichum pumilum Sw.
12,Polytrichum formosum Hedw.
12,Pseudanomodon attenuatus (Hedw.) Ignatov & Fedosov
12,Ptychostomum cryophilum (Mårtensson) J.R. Spence
12,Ptychostomum knowltonii (Barnes) J.R. Spence
12,Schistidium occidentale (E. Lawton) S.P. Churchill
